GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
DCAF7	43.8998472	44.03141646	59.8620049	54.71426113	41.04213093	97.44111306	74.13840291	126.9577889	63.60414123	45.23477987	39.10060259	18.91502706	33.18973464	81.71658787
DCAF8	43.33339756	48.2248847	74.61061481	68.04209397	15.91429567	19.88594144	70.2363817	49.87627421	2.650172551	47.04417106	29.48061306	43.04799261	30.81903931	22.38810626
DCAKD	26.90635796	15.72550588	10.41078346	24.55127102	49.41807602	15.90875315	13.2668721	0	18.55120786	12.66573836	9.930311768	17.61054243	18.17533087	13.43286376
DCBLD1	1.416124103	0	6.940522308	7.014648863	24.29024076	7.954376576	17.94929755	0	0	0	4.965155884	0.652242312	0	1.119405313
DCBLD2	10.76254319	11.53203764	17.35130577	2.104394659	2.512783526	0	13.2668721	31.73944722	26.50172551	23.52208553	17.06772335	17.61054243	21.33625798	42.5374019
DCC	8.77996944	5.241835293	0	0.701464886	19.2646737	0	29.65536116	6.801310119	0	5.428173584	11.17160074	23.48072324	11.06324488	6.716431879
DCDC1	1.982573745	2.096734117	3.470261154	0	2.512783526	0	10.14525513	0	26.50172551	0	0.310322243	0.652242312	0	11.19405313
DCDC2	0.283224821	0	2.602695865	0	10.05113411	0	0	0	0	0	0.930966728	3.261211561	0	0
DCDC2C	1.416124103	14.67713882	3.470261154	0	0	0	0	6.801310119	21.20138041	0	0	2.608969249	0.790231777	0
DCHS1	9.912868723	11.53203764	16.48374048	14.73076261	24.29024076	39.77188288	7.02363817	13.60262024	23.85155296	21.71269434	18.30901232	16.95830012	4.741390663	0
DCK	3.965147489	1.048367059	0	2.805859545	5.863161562	0	15.60808482	2.267103373	0	10.85634717	8.689022797	13.69708856	7.902317771	5.597026566
DCLK1	56.64496413	81.77263057	49.45122144	41.38642829	25.96542977	51.70344774	106.1349768	61.21179107	45.05293337	45.23477987	104.888918	84.13925828	52.94552907	42.5374019
DCLK2	24.92378422	24.11244235	36.43774212	19.64101682	42.71731995	21.87453558	7.804042411	0	31.80207061	83.23199496	36.3077024	16.30605781	7.902317771	69.40312942
